order,exercise_id,source_label,exercise_kind,used_later,hint_id,exercise_source,hint_source,status
1,o004.petrunin.ex.ch01.001,ex:dist-square,exercise,false,o004.petrunin.hint.ch01.001,metric.tex,hints.tex,admitted
2,o004.petrunin.ex.ch01.002,ex:d_1+d_2+d_infty,exercise,false,o004.petrunin.hint.ch01.002,metric.tex,hints.tex,admitted
3,o004.petrunin.ex.ch01.003,ex:4-triangle,exercise,false,o004.petrunin.hint.ch01.003,metric.tex,hints.tex,admitted
4,o004.petrunin.ex.ch01.004,ex:dist-preserv=>injective,exercise,false,o004.petrunin.hint.ch01.004,metric.tex,hints.tex,admitted
5,o004.petrunin.ex.ch01.005,ex:motion-of-R,exercise,true,o004.petrunin.hint.ch01.005,metric.tex,hints.tex,admitted
6,o004.petrunin.ex.ch01.006,ex:d_1=d_infty,exercise,false,o004.petrunin.hint.ch01.006,metric.tex,hints.tex,admitted
7,o004.petrunin.ex.ch01.007,ad-ex:motions of Manhattan plane,advanced-exercise,false,o004.petrunin.hint.ch01.007,metric.tex,hints.tex,admitted
8,o004.petrunin.ex.ch01.008,ex:y=|x|,exercise,false,o004.petrunin.hint.ch01.008,metric.tex,hints.tex,admitted
9,o004.petrunin.ex.ch01.009,ex:line-motion,exercise,true,o004.petrunin.hint.ch01.009,metric.tex,hints.tex,admitted
10,o004.petrunin.ex.ch01.010,ex:trig==,exercise,true,o004.petrunin.hint.ch01.010,metric.tex,hints.tex,admitted
11,o004.petrunin.ex.ch01.011,ex:2a=0,exercise,true,o004.petrunin.hint.ch01.011,metric.tex,hints.tex,admitted
12,o004.petrunin.ex.ch01.012,ex:a+b==c,exercise,false,o004.petrunin.hint.ch01.012,metric.tex,hints.tex,admitted
13,o004.petrunin.ex.ch01.013,ex:dist-cont,exercise,true,o004.petrunin.hint.ch01.013,metric.tex,hints.tex,admitted
14,o004.petrunin.ex.ch01.014,ex:comp+cont,exercise,true,o004.petrunin.hint.ch01.014,metric.tex,hints.tex,admitted
15,o004.petrunin.ex.ch01.015,ex:isom-cont,exercise,false,o004.petrunin.hint.ch01.015,metric.tex,hints.tex,admitted
16,o004.petrunin.ex.ch01.016,ex:ncong,exercise,false,o004.petrunin.hint.ch01.016,metric.tex,hints.tex,admitted
17,o004.petrunin.ex.ch02.001,ex:infinite,classroom-exercise,false,o004.petrunin.hint.ch02.001,axioms.tex,hints.tex,admitted
18,o004.petrunin.ex.ch02.002,ex:[OA)=[OA'),exercise,false,o004.petrunin.hint.ch02.002,axioms.tex,hints.tex,admitted
19,o004.petrunin.ex.ch02.003,ex:[OA)=[OB),exercise,true,o004.petrunin.hint.ch02.003,axioms.tex,hints.tex,admitted
20,o004.petrunin.ex.ch02.004,ex:lineAOB,exercise,false,o004.petrunin.hint.ch02.004,axioms.tex,hints.tex,admitted
21,o004.petrunin.ex.ch02.005,ex:ABCO-line,exercise,true,o004.petrunin.hint.ch02.005,axioms.tex,hints.tex,admitted
22,o004.petrunin.ex.ch02.006,ex:infinite-number-of-lines,exercise,false,o004.petrunin.hint.ch02.006,axioms.tex,hints.tex,admitted
23,o004.petrunin.ex.ch02.007,ex:refelection-of-line,exercise,false,o004.petrunin.hint.ch02.007,axioms.tex,hints.tex,admitted
24,o004.petrunin.ex.ch03.001,ex:AOB+<=>BOA-,classroom-exercise,false,o004.petrunin.hint.ch03.001,half-planes.tex,hints.tex,admitted
25,o004.petrunin.ex.ch03.002,ex:PP(PN),exercise,false,o004.petrunin.hint.ch03.002,half-planes.tex,hints.tex,admitted
26,o004.petrunin.ex.ch03.003,ex:between,classroom-exercise,true,o004.petrunin.hint.ch03.003,half-planes.tex,hints.tex,admitted
27,o004.petrunin.ex.ch03.004,ex:vert-intersect,exercise,false,o004.petrunin.hint.ch03.004,half-planes.tex,hints.tex,admitted
28,o004.petrunin.ex.ch03.005,ex:signs-PXQ-PYQ,exercise,true,o004.petrunin.hint.ch03.005,half-planes.tex,hints.tex,admitted
29,o004.petrunin.ex.ch03.006,ex:chevinas,exercise,true,o004.petrunin.hint.ch03.006,half-planes.tex,hints.tex,admitted
30,o004.petrunin.ex.ch03.007,ex:Z,exercise,false,o004.petrunin.hint.ch03.007,half-planes.tex,hints.tex,admitted
31,o004.petrunin.ex.ch03.008,ex:angle-measures,advanced-exercise,false,,half-planes.tex,,admitted-no-source-hint
32,o004.petrunin.ex.ch03.009,ex:intersecting-circles-3,exercise,true,o004.petrunin.hint.ch03.009,half-planes.tex,hints.tex,admitted
33,o004.petrunin.ex.ch04.001,ex:equilateral,exercise,false,o004.petrunin.hint.ch04.001,cong.tex,hints.tex,admitted
34,o004.petrunin.ex.ch04.002,ex:SMS,advanced-exercise,false,o004.petrunin.hint.ch04.002,cong.tex,hints.tex,admitted
35,o004.petrunin.ex.ch04.003,ex:isos-sides,exercise,false,o004.petrunin.hint.ch04.003,cong.tex,hints.tex,admitted
36,o004.petrunin.ex.ch04.004,ex:ABC-motion,exercise,true,o004.petrunin.hint.ch04.004,cong.tex,hints.tex,admitted
37,o004.petrunin.ex.ch04.005,ex:motion,exercise,false,o004.petrunin.hint.ch04.005,cong.tex,hints.tex,admitted
38,o004.petrunin.ex.ch05.001,ex:acute-obtuce,exercise,false,o004.petrunin.hint.ch05.001,perp.tex,hints.tex,admitted
39,o004.petrunin.ex.ch05.002,ex:pbisec-side,advanced-exercise,true,o004.petrunin.hint.ch05.002,perp.tex,hints.tex,admitted
40,o004.petrunin.ex.ch05.003,ex:side-angle,advanced-exercise,true,o004.petrunin.hint.ch05.003,perp.tex,hints.tex,admitted
41,o004.petrunin.ex.ch05.004,ex:pbisec-motion,exercise,false,o004.petrunin.hint.ch05.004,perp.tex,hints.tex,admitted
42,o004.petrunin.ex.ch05.005,ex:construction-perpendicular,advanced-exercise,true,o004.petrunin.hint.ch05.005,perp.tex,hints.tex,admitted
