asset_id,source_locator,locale,short_description,long_description,status
o004.petrunin.fig.preface.dependencies,intro.tex#chapter-dependency-tikz,id-ID,Graf ketergantungan dua puluh bab,"Graf berarah memperlihatkan urutan utama 1 ke 2 ke 3 ke 4 ke 5 ke 6 ke 7 ke 8. Dari 7 bercabang jalur 7 ke 9 ke 10; 7 juga menuju 19 dan 20. Dari 5 bercabang jalur 5 ke 11 ke 12 ke 13 ke 17. Bab 10 menuju 12, 14, 16, dan 18; 14 menuju 15 lalu 17, sedangkan 16 menuju 17 dengan panah putus-putus.",admitted
o004.petrunin.fig.ch01.01,mppics/pic.mp#beginfig-2,id-ID,Contoh garis dalam bidang Manhattan,"Empat contoh lintasan yang merupakan garis dalam metrik Manhattan digambar pada kisi koordinat putus-putus: satu garis horizontal, satu lintasan dengan ruas horizontal dan vertikal, satu lintasan dengan ruas horizontal yang dihubungkan oleh ruas diagonal, serta satu garis vertikal.",admitted
o004.petrunin.fig.ch01.02,mppics/pic.mp#beginfig-4,id-ID,Sudut AOB berukuran alfa,"Dua sinar berawal di O: sinar OA mendatar ke kanan dan sinar OB miring ke kanan atas. Busur berarah berlawanan jarum jam dari OA menuju OB diberi label alfa.",admitted
o004.petrunin.fig.ch01.03,mppics/pic.mp#beginfig-6,id-ID,Titik tengah dalam bidang Manhattan,"Titik A berada di atas O dan titik B di kanan O pada kisi putus-putus. Ruas diagonal abu-abu dari O ke titik kanan-atas menggambarkan himpunan titik tengah yang tidak tunggal untuk salah satu pasangan, berlawanan dengan titik tengah tunggal pasangan lainnya dalam contoh.",admitted
o004.petrunin.fig.ch02.01,mppics/pic.mp#beginfig-8,id-ID,Konstruksi pada arah “jika” teorema sudut lurus,"Titik B, O, dan A terletak segaris dengan O di antara B dan A. Busur berarah dari sinar OA ke sinar OB menandai sudut alfa. Sinar OA' yang kemudian dikonstruksi dalam teks pembuktian belum digambar pada ilustrasi ini.",admitted
o004.petrunin.fig.ch02.02,mppics/pic.mp#beginfig-10,id-ID,Kesamaan garis dalam pembuktian sudut lurus,"Titik B, O, dan A terletak pada satu garis mendatar, sedangkan A' berada pada sinar miring dari O. Dua busur berlabel alfa menunjukkan sudut AOB dan BOA'; pembuktian kemudian memakai bahwa garis AB dan A'B sama-sama melalui B dan O sehingga keduanya berimpit.",admitted
o004.petrunin.fig.ch02.03,mppics/pic.mp#beginfig-12,id-ID,Sepasang sudut bertolak belakang,"Dua garis berpotongan di O. Titik A dan A' berada pada sisi berlawanan dari O pada satu garis, sedangkan B dan B' berada pada sisi berlawanan pada garis lainnya. Sudut AOA' dan BOB' lurus; busur menandai pasangan sudut bertolak belakang AOB dan A'OB' yang dibuktikan sama ukurannya.",admitted
o004.petrunin.fig.ch02.04,mppics/pic.mp#beginfig-915,id-ID,Pencerminan titik X terhadap O,"Titik X, O, dan X' segaris dengan O di antara X dan X'. Tanda ruas menunjukkan OX sama dengan OX', sehingga O adalah titik tengah XX' dan X' merupakan cerminan X terhadap O.",admitted
o004.petrunin.fig.ch02.05,mppics/pic.mp#beginfig-76,id-ID,Pencerminan pasangan titik terhadap pusat O,"Titik X' dan Y' masing-masing merupakan cerminan X dan Y terhadap pusat O, sehingga O adalah titik tengah XX' dan YY'. Sudut XOY dan X'OY' bertolak belakang; tanda kesamaan mendukung kekongruenan segitiga XOY dan X'OY' serta sasaran X'Y'=XY.",admitted
o004.petrunin.fig.ch03.01,mppics/pic.mp#beginfig-14,id-ID,Graf teorema nilai antara,"Kurva kontinu bergerak dari f(a)<0 menuju f(b)>0. Garis-garis proyeksi putus-putus menandai a, t0, dan b; kurva melintasi sumbu mendatar di t0 sehingga f(t0)=0.",admitted
